name,address,city,state,neighborhood,category,google_place_id,phone,website
"Infinity Lounge","100 Whittaker Ave, Trenton, NJ 08611, USA",Trenton,NJ,Chambersburg,nightlife,ChIJlVDUZbpZwYkREYs9p_pdtDI,,https://www.facebook.com/Infinity-108191489237243/
"Jean’s Kitchen","9 N Willow St, Trenton, NJ 08608, USA",Trenton,NJ,Downtown,dining,ChIJcVgVqBhZwYkRCsoo_2hzuQ0,,https://jeans-kitchen.square.site/
"Royal Cakes & Cafe","240 E State St, Trenton, NJ 08608, USA",Trenton,NJ,"Hanover Academy",dining,ChIJKyYHikVZwYkR8gW6AHJb4jU,,https://royalcakecreations-royalcakecafe0781.s4shops.com/
"Soul Food Sunday","9 N Willow St, Trenton, NJ 08608, USA",Trenton,NJ,Downtown,dining,ChIJcVgVqBhZwYkRCsoo_2hzuQ0,,https://jeans-kitchen.square.site/
"Sweet Chili Swing Platter","926 N Olden Ave, Trenton, NJ 08638, USA",Trenton,NJ,"Top Road",dining,ChIJ1UqIVWmrw4kRmHRdHJqcPTg,,http://www.dylilahsweetsinsation.com/
"Tracey's Kitchen","241 E Front St, Trenton, NJ 08611, USA",Trenton,NJ,"Hanover Academy",dining,ChIJscYq1BRZwYkRniu1T981E18,,
"Tracey’s Kitchen","241 E Front St, Trenton, NJ 08611, USA",Trenton,NJ,"Hanover Academy",dining,ChIJscYq1BRZwYkRniu1T981E18,,
"Unnamed Restaurant","11 Front St, Trenton, ON K8V 4N3, Canada",Trenton,NJ,Trenton,dining,ChIJman6kwMX1okRRuCYqaY_MSM,,http://www.thecounterrestaurant.ca/
"Fried Crispy Chicken","1302 Stuyvesant Ave., Union, NJ 07083, USA",Union,NJ,,dining,ChIJA1gQJMytw4kRBffvBr9K9Zk,,http://www.friedcrispychickennj.com/
"H&S SoulFood","1700 Stuyvesant Ave., Union, NJ 07083, USA",Union,NJ,,dining,ChIJGYtQimCtw4kRMfaOsmWnARM,,http://www.hssoulfood.com/
"Union Bar and Restaurant","Heinrich-Seliger-Straße 13, 60528 Frankfurt am Main, Germany",Union,NJ,"Frankfurt-Süd",lounge,ChIJ48bEJ44LvUcRHiyVFm_PQbc,,https://www.gaststaetteunionniederrad.de/
"SMAC kitchen","197 1st Ave, New York, NY 10003, USA","Union City",NJ,Manhattan,dining,ChIJC2z1451ZwokRdm70SHTgRD0,,https://www.eatsmac.com/?y_source=1_MTA1NjA2ODgzNS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
"Hidden Soul Food Restaurant","22 W Landis Ave, Vineland, NJ 08360, USA",Vineland,NJ,,dining,ChIJiXyqAjwyx4kRd-U19GZdWVo,,
"Taste Buds Soul Food","22 W Landis Ave, Vineland, NJ 08360, USA",Vineland,NJ,,dining,ChIJiXyqAjwyx4kRd-U19GZdWVo,,
"Girl with a grill","910 Haddonfield-Berlin Rd #3, Voorhees Township, NJ 08043, USA","Voorhees Township",NJ,Echelon,dining,ChIJYW9van7NxokRRf8rN-SZD2g,"(856) 258-2857",https://girlwithagrill.org/
"Wagyu Steak","1200 Harbor Blvd, Weehawken Township, NJ 07086, USA",Weehawken,NJ,,dining,ChIJ35sVdsxZwokRqWhUeLog3dw,,https://bluonthehudson.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp
"favorite NJ restaurant","1700 Harbor Blvd, Weehawken Township, NJ 07086, USA","Weehawken Township",NJ,"",dining,ChIJfSrfpzJYwokRZK7ZRue5tG8,"(201) 348-6628",https://www.chart-house.com/location/chart-house-weehawken-nj/
"The Concourse Club","379 NJ-17 South, Wood-Ridge, NJ 07075, USA",Wood-Ridge,NJ,"",dining|nightlife|lounge,ChIJXS05bIX5wokRT1Ih63pfuUs,"(201) 710-6459",https://www.concourseclubnj.com/
"Sole Food","689 Florida Grove Rd, Hopelawn, NJ 07095, USA",Woodbridge,NJ,Hopelawn,dining,ChIJt_07QlO1w4kRjq_crRzq0TM,,
"Sole Food BBQ","689 Florida Grove Rd, Hopelawn, NJ 07095, USA",Woodbridge,NJ,Hopelawn,dining,ChIJt_07QlO1w4kRjq_crRzq0TM,,
"Strickland's Steakhouse","106 Main St, Woodbridge, NJ 07095, USA",Woodbridge,NJ,Woodbridge,dining,ChIJMzjfCvW1w4kRFRdf4yHr9xg,,http://www.stricklandssteakhouse.com/
"Blue Bottle Coffee","252 N Bridge Rd, #01-01 Lumine Raffles City, Singapore 179103",city,NJ,"Downtown Core",dining,ChIJFzyzLQAZ2jERkWIy2e13IgI,,https://www.facebook.com/bluebottlecoffee
"Angelo's Pizzeria","1 Anderson Ave, Fairview, NJ 07022, USA","north Jersey",NJ,,dining,ChIJeyWjisP3wokRwwxIttR2IhM,,http://www.angelosnj.com/
"Palazzone 1960","190 NJ-23, Wayne, NJ 07470, USA","north Jersey",NJ,,dining,ChIJUeoa65cBw4kRaAG_rOVG_qw,,https://www.palazzone1960.com/
"The Pasta Shop","13 1st Ave, Denville, NJ 07834, USA","north Jersey",NJ,,dining,ChIJifni75cJw4kRrTZwm1GIFAY,,http://www.thepastashopdenville.com/
"that dinner spot","1442 Marlton Pike, Cherry Hill Township, NJ 08034, USA","south jersey",NJ,"Kingston Estates",dining,ChIJ44q5DELLxokR8WSvFdJLVIc,,http://fandftavern.com/
"Kith Treats","337 Lafayette St, New York, NY 10012, USA","All US",NY,Manhattan,dining,ChIJvwu6VK6JwokRjfL1ztzLzK0,,https://kith.com/pages/shop-treats?utm_campaign=Kithtreats&utm_medium=kithtreats.com&utm_source=redirects
"Agenda Astoria","28-18 31st St, Astoria, NY 11102, USA",Astoria,NY,Astoria,nightlife,ChIJk6QuxV1fwokRCMn0rzk2S3A,,https://agendaastoria.com/
"Kam Rai Thai","43-11 28th Ave, Astoria, NY 11103, USA",Astoria,NY,Astoria,dining,ChIJ7Ws_HhlfwokRuyW4Ktxir_8,,http://kamraithai.net/
Macoletta,"28-15 24th Ave, Long Island City, NY 11102, USA",Astoria,NY,"Long Island City",dining,ChIJLcuT-w5fwokRxLQ4DjG1Qv8,,https://www.macoletta.com/
"Pig Beach BBQ","35-37 36th St Ground Floor, Astoria, NY 11106, USA",Astoria,NY,Astoria,dining,ChIJsT7KfEtfwokRdTuEU6J5MAI,,http://www.pigbeachnyc.com/
"Pig Beach Queens","35-37 36th St Ground Floor, Astoria, NY 11106, USA",Astoria,NY,Astoria,dining,ChIJsT7KfEtfwokRdTuEU6J5MAI,,http://www.pigbeachnyc.com/
"Smoke and Mirrors","28-04 Steinway St, Long Island City, NY 11103, USA",Astoria,NY,"Long Island City",nightlife,ChIJHxFXl91fwokRIS0l8mtuBNk,,https://smloungeastoria.com/
"South Beach","23-44 Steinway St, Astoria, NY 11105, USA",Astoria,NY,Astoria,nightlife,ChIJU4VznmlfwokRk88NwePPDqk,,http://southbeachastorianyc.com/
"The best hookah place","25-79 Steinway St, Astoria, NY 11103, USA",Astoria,NY,Astoria,nightlife,ChIJTziFGUBfwokRQfgokclDIQg,,http://oddmenu.com/p/tabooasstoria
"Tipsy Scoop","3815 23rd Ave, Astoria, NY 11105, USA",Astoria,NY,Astoria,dining,ChIJS6tV7nFfwokRmFC9lDbgnMM,,https://tipsyscoop.com/pages/queens
"Zen Astoria","37-20 30th Ave., Astoria, NY 11103, USA",Astoria,NY,Astoria,dining,ChIJn7_1gGRfwokR5X37bWC__lc,,https://www.instagram.com/zen_astoria
"hookah place","23-52 Steinway St, Astoria, NY 11105, USA",Astoria,NY,Astoria,nightlife,ChIJwUgcnWlfwokRbz8K1XjeRlA,,
vida.nyc,"30-27 Steinway St, Queens, NY 11103, USA",Astoria,NY,Astoria,dining,ChIJt25F6MlfwokRaDUwXJSLT1k,,http://www.vidasteakhouse.com/
"Pops & Poosh","988 Merrick Rd, Baldwin, NY 11510, USA",Baldwin,NY,,dining,ChIJu4ef7YB7wokR98tAsRWomRM,,http://www.popsandpoosh.com/
"El Xiringuito de la Barceloneta","Av. del Litoral, 62, Sant Martí, 08005 Barcelona, Spain",Barcelona,NY,"Sant Martí",dining,ChIJux5s9Q2jpBIRDGd1vZQU9aE,,
"La Boqueria Market","La Rambla, 91, Ciutat Vella, 08001 Barcelona, Spain",Barcelona,NY,"Ciutat Vella",dining,ChIJAVoetfeipBIR1a1z3FTGCoY,,
"La Papa","Carrer d'Aribau, 92, L'Eixample, 08036 Barcelona, Spain",Barcelona,NY,"L'Eixample",dining,ChIJ_9_sbKKjpBIRUbMyF_9Z9Mc,,
"Quimet y Quimet","Carrer del Poeta Cabanyes, 25, Sants-Montjuïc, 08004 Barcelona, Spain",Barcelona,NY,"Sants-Montjuïc",dining,ChIJbSqmkF2ipBIROKuS4vazQO0,,
"Suru Bar","Carrer de Casanova, 134, Eixample, 08036 Barcelona, Spain",Barcelona,NY,Eixample,dining,ChIJ0Xon6-GjpBIR3KM1t3bqWVc,,
"Offgrid's Cafe","45-54 Bell Blvd, Bayside, NY 11361, USA",Bayside,NY,Bayside,dining,ChIJ4Rj6OAVhwokRcjGcTyWDuP8,,https://www.instagram.com/offgrids_cafe/
"The Roundhouse","2 E Main St, Beacon, NY 12508, USA",Beacon,NY,,dining,ChIJhwhP1mAx3YkRO3FXmFj7Dkk,,https://roundhousebeacon.com/restaurant/
"2 Chix Brunch","1022 Broadway, Brooklyn, NY 11221, USA",Bedstuy,NY,Bedford-Stuyvesant,dining,ChIJ52S8cbxdwokRJJIYS6b_ToI,,https://www.brunch2chix.com/
Roca,"Hardenbergstraße 28, 10623 Berlin, Germany",Berlin,NY,"Bezirk Charlottenburg-Wilmersdorf",dining,ChIJtUaMUrwjZUERKqMOBZxTD6Y,"030 8140002460",http://waldorfastoriaberlin.de/Restaurants-Lounges/roca
Dandelion,"212 McKenley Hollow Rd, Big Indian, NY 12410, USA","Big Indian",NY,,dining,ChIJVSxxKDn33IkR7CW1koSQbVY,,https://www.eastwindhotels.com/dandelion
"Boogie Down Food Hall","868 Hunts Point Ave, Bronx, NY 10474, USA",Bronx,NY,"Hunts Point",dining,ChIJ_Y25fgD1wokRWMtstKibsA0,,http://boogiedowngrind.com/
"CEA-LOS - CAFE","1003 Soundview Ave, Bronx, NY 10472, USA",Bronx,NY,"East Bronx",dining,ChIJx8M1ieb0wokRvrrxTZja3rk,,https://www.cealocafe.com/
"Calabria Pork Store","2338 Arthur Ave, Bronx, NY 10458, USA",Bronx,NY,"Little Italy",dining,ChIJM-bcXof0wokRL3ynuz5OVCw,,https://calabriapork.com/
"Casa della Mozzarella","604 E 187th St, Bronx, NY 10458, USA",Bronx,NY,"Little Italy",dining,ChIJ-c74yYD0wokRqbdBsNyGRO0,,https://www.facebook.com/CasaDellaMozzarella/
"Code Red","1320 E Gun Hill Rd, Bronx, NY 10469, USA",Bronx,NY,Laconia,dining,ChIJAQAQfEnzwokR5cXlw6wWYxU,,https://coderedrestaurant.com/
"Egidio Pastry Shop","622 E 187th St, Bronx, NY 10458, USA",Bronx,NY,"Little Italy",dining,ChIJYYDOMof0wokRCEwVvFJcp_w,,
"Grounds Donut House","4039 E Tremont Ave, Bronx, NY 10465, USA",Bronx,NY,"East Bronx",dining,ChIJXdZaiReLwokRXyVCGNZ9c80,,http://www.groundsdonuthouse.com/
"Juici Patties","610 Exterior St 4th FLOOR, Bronx, NY 10451, USA",Bronx,NY,"West Bronx",dining,ChIJd6Q7TMX1wokRQeaxNRtM-LU,,https://juicipattiesusa.com/
"Madonia Bakery","2348 Arthur Ave, Bronx, NY 10458, USA",Bronx,NY,"Little Italy",dining,ChIJ0amSWof0wokRDOH_B8GxbYM,,http://www.madoniabakery.net/
"Roberto's Restaurant","603 Crescent Ave, Bronx, NY 10458, USA",Bronx,NY,"Little Italy",dining,ChIJpb3wZof0wokREXE6p8y04O8,,https://www.robertosbronx.com/
"Taco Tuesday","5977 Broadway, Bronx, NY 10471, USA",Bronx,NY,Fieldston,dining,ChIJq1rdt2LzwokRvnU7AKI34VE,,https://www.thelaststopbar.com/
"Vogue Restaurant Lounge","1472 Ogden Ave, Bronx, NY 10452, USA",Bronx,NY,Highbridge,dining|nightlife|lounge,ChIJG0uvluD1wokRpRWe9tzDd0U,,
"Wing Wednesday","193 W 237th St, Bronx, NY 10463, USA",Bronx,NY,Kingsbridge,dining,ChIJ6-p8K6PzwokRkPgswrTsPDw,,"https://www.buffalowildwings.com/locations/us/ny/bronx/193-west-237th-street,-retail-h,-space-201/sports-bar-1623/?utm_source=google-my-business&utm_medium=organic&utm_campaign=website-link&y_source=1_MjAxNjYxMTAzMy03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D"
"1140 Utica Ave","1140 Utica Ave, Brooklyn, NY 11203, USA",Brooklyn,NY,,dining,Ei0xMTQwIFV0aWNhIEF2ZSAjMTE0MCwgQnJvb2tseW4sIE5ZIDExMjAzLCBVU0EiIBoeChYKFAoSCYNH0d-jXMKJEanfXnHDW4juEgQxMTQw,,
"24hr soul food spot","302 Atlantic Ave, Brooklyn, NY 11201, USA",Brooklyn,NY,"Boerum Hill",dining,ChIJua292E1awokRtj7K3ujLMLc,,http://www.soulspotrestaurant.com/
"4am Bar Lounge","1836 McDonald Ave, Brooklyn, NY 11223, USA",Brooklyn,NY,Gravesend,nightlife,ChIJK0MQu35FwokR1434HKFIcBE,,http://www.loulouloungenyc.com/
"Aura Cocina","315 Meserole St, Brooklyn, NY 11206, USA",Brooklyn,NY,"East Williamsburg",dining,ChIJD9y6qKpewokRMYviyTLQ1P0,,https://auracocinanyc.com/
"BAP'S","9922 Garden Grove Blvd, Garden Grove, CA 92844, USA",Brooklyn,NY,,dining,ChIJU68qx2gp3YARuCOMQ5e2hNM,,
"Bamboo Walk","1343 Utica Ave, Brooklyn, NY 11203, USA",Brooklyn,NY,,dining,ChIJgUNvXv9dwokRKXPry0VbFl0,,https://bamboowalk.com/?utm_source=google
"Bars and Delis","857 Greene Ave, Brooklyn, NY 11221, USA",Brooklyn,NY,Bedford-Stuyvesant,dining,ChIJb3xHgW5dwokRN5z1yAHGGl8,,
"Bellas Brooklyn","1604 Avenue H, Brooklyn, NY 11230, USA",Brooklyn,NY,Flatbush,dining,ChIJmSOWQcpEwokRi1xwphrEXIg,,http://bellapizzarestaurantbrooklyn.com/
"Black Nile Seafood & Soul Food Halal Restaurant","1140 Utica Ave, Brooklyn, NY 11203, USA",Brooklyn,NY,"Little Caribbean",dining,ChIJo65TGptbwokRhq2a8aM33wE,,https://blacknilebk.com/
Bohemia,"160 N 12th St, Brooklyn, NY 11249, USA",Brooklyn,NY,Williamsburg,dining,ChIJaQ0NwDRZwokROxWXhtSUMRY,,
"Breuklyn Tequila","160 N 12th St, Brooklyn, NY 11249, USA",Brooklyn,NY,,nightlife,ChIJgQmOxVxZwokR9klio052TyA,,
"Brooklyn Chckn 'N' Lbstr","446 Mother Gaston Blvd, Brooklyn, NY 11212, USA",Brooklyn,NY,Brownsville,dining,ChIJR41tEZFdwokRxsHM9gNbz2A,,http://brooklynchcknlbstr.com/
"Brooklyn Chckn n Lbstr","446 Mother Gaston Blvd, Brooklyn, NY 11212, USA",Brooklyn,NY,Brownsville,dining,ChIJR41tEZFdwokRxsHM9gNbz2A,,http://brooklynchcknlbstr.com/
"Brooklyn Chicken and Waffles","164 Bedford Ave, Brooklyn, NY 11249, USA",Brooklyn,NY,Williamsburg,dining,ChIJEw37uV1ZwokRWHsTZx1hg1A,,https://www.sweetchick.com/
"CZEN Restaurant","4410 Avenue H, Brooklyn, NY 11234, USA",Brooklyn,NY,Flatlands,dining,ChIJXV940sNdwokR7Z56ISzYiiQ,,http://czennyc.com/
"Cafe 20 Grams","145 West St Floor 1, Brooklyn, NY 11222, USA",Brooklyn,NY,Greenpoint,dining,ChIJoWNLJDNZwokR85V0mj7fxaM,,https://www.jubileemarketplace.com/
"Charm Bar","448 Dean St, Brooklyn, NY 11217, USA",Brooklyn,NY,"Park Slope",lounge,ChIJgRd23gFbwokRFaACKwWIF7E,,https://charmbarrestaurant.com/?utm_source=google
"Cloudy Donuts","14 Columbia Pl, Brooklyn, NY 11201, USA",Brooklyn,NY,"Brooklyn Heights",dining,ChIJuZ1wys9bwokRyCbnC8MZcOM,,https://www.cloudydonut.com/
Coda,"160 N 12th St, Brooklyn, NY 11249, USA",Brooklyn,NY,Williamsburg,dining,ChIJrY2bpJVZwokRuXtpsP1Pa_A,,https://www.codahotels.com/
Continent,"500 Metropolitan Ave, Brooklyn, NY 11211, USA",Brooklyn,NY,Williamsburg,dining,ChIJYdG4TgBZwokR11kC5H4WLTw,,https://thecontinentbrooklyn.com/
"Cupcakes After Dark","335 Union Ave, Brooklyn, NY 11211, USA",Brooklyn,NY,Southside,dining,ChIJcftZY-JbwokRJ1OLBsYHNYs,"(718) 576-3600",http://www.brooklyncupcake.com/
"Dekalb Market Hall","445 Albee Square W, Brooklyn, NY 11201, USA",Brooklyn,NY,"Downtown Brooklyn",dining,ChIJYdQQqUxawokRgEb3GR9Qqhw,,http://dekalbmarkethall.com/
"Djon Djon","1206 Nostrand Ave, Brooklyn, NY 11225, USA",Brooklyn,NY,"Prospect Lefferts Gardens",dining,ChIJTX1IoC1bwokRPWu7-zOniw8,,https://www.djondjonbk.com/
"Dope Cafe","44 Court St STE 1217 #1040, Brooklyn, NY 11201, USA",Brooklyn,NY,"Brooklyn Heights",dining,ChIJ-9DrsqpdwokRKfsjsHPg-CI,,http://www.universityofdope.com/
"Dreams of Sugar","506 Nostrand Ave, Brooklyn, NY 11216, USA",Brooklyn,NY,Bedford-Stuyvesant,dining,ChIJgy96iitbwokReJBLqh-os7k,,https://www.dreamsofsugar.com/
"EXOTIC EATS NYC","1140 Utica Ave, Brooklyn, NY 11203, USA",Brooklyn,NY,"Little Caribbean",dining,ChIJh1NoJBxdwokRyZeN1kLvzQA,,https://uticatakeout.com/s/exotic-eats-southern-style-soul-food/1140-utica-ave-brooklyn/47f45fec-409c-4d32-9ddc-1b999eb92f99
Eko,"11010 Flatlands Ave, Brooklyn, NY 11207, USA",Brooklyn,NY,"Starrett City",dining,ChIJmXKfF0JdwokRscStlACtsKY,,http://www.ekoloungenyc.com/
"Elite Williamsburg","128 Metropolitan Ave, Brooklyn, NY 11211, USA",Brooklyn,NY,Williamsburg,dining,ChIJe_ZA_wJZwokR2UPfnzdJLUQ,,https://www.elitewilliamsburg.com/
"Fandi Mata","74 Bayard St, Brooklyn, NY 11222, USA",Brooklyn,NY,Williamsburg,dining,ChIJqSwWaP5ZwokRuHaHr43H39o,,https://www.fandimata.com/
"Farmer in the Deli","357 Myrtle Ave, Brooklyn, NY 11205, USA",Brooklyn,NY,"Fort Greene",dining,ChIJpTps8bdbwokRJlV1kHCSWPQ,,https://instagram.com/farmerdeli1?igshid=NzZlODBkYWE4Ng==
"Forma Pasta Factory","14 Bedford Ave, Brooklyn, NY 11222, USA",Brooklyn,NY,Greenpoint,dining,ChIJQ1ZCUkRZwokRYKlkqQijGHg,,https://www.formapasta.com/
"Fornino Pizza","849 Manhattan Ave, Brooklyn, NY 11222, USA",Brooklyn,NY,Greenpoint,dining,ChIJx1Bo1EBZwokRUZ_xdNzvcLY,"(718) 389-5300",http://www.fornino.com/
"GG’s Fish & Chips","234 Hoyt St, Brooklyn, NY 11217, USA",Brooklyn,NY,"Carroll Gardens",dining,ChIJeWNVFaRbwokRAvjZWGQA2zg,,http://seafoodrestaurantbrooklyn.com/
"Golfzon Social","15 Hoyt St, Brooklyn, NY 11201, USA",Brooklyn,NY,"Downtown Brooklyn",nightlife,ChIJ3U6nv29bwokRqNqk_YUruD8,,https://golfzonsocial.com/locations/brooklyn/?utm_source=extnet&utm_medium=yext
"HAAM Caribbean Plant Cuisine","234 Union Ave, Brooklyn, NY 11211, USA",Brooklyn,NY,Southside,dining,ChIJ_1K7PNXauisRl9c2S2cnfCc,"(212) 271-0110",https://healthyasamotha.com/?y_source=1_MzUxMjc4MjEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
"Harriet's","60 Furman St Floor 11, Brooklyn, NY 11201, USA",Brooklyn,NY,"Brooklyn Heights",dining,ChIJPxACDBpbwokROc8Ds_8m9WQ,,https://www.1hotels.com/brooklyn-bridge/taste/harriets-rooftop?utm_source=google-gbp&utm_medium=organic&utm_campaign=gbp
"Hey Taco Cocina","25 River St, Brooklyn, NY 11249, USA",Brooklyn,NY,Williamsburg,dining,ChIJpRmiZz9ZwokRuNshIg9W8LQ,,https://www.heytacocina.com/
"Hudson Table","88 Withers St, Brooklyn, NY 11211, USA",Brooklyn,NY,Williamsburg,dining,ChIJO_Wahe9ZwokRN7x-EidXAUU,,https://hudsontable.com/brooklyn/
"Häagen-Dazs","120 Montague St, Brooklyn, NY 11201, USA",Brooklyn,NY,"Brooklyn Heights",dining,ChIJH3SlgUhawokR7f4Zknqi9BU,,https://www.haagendazs.us/
Ichiran,"374 Johnson Ave, Brooklyn, NY 11206, USA",Brooklyn,NY,Bushwick,dining,ChIJDwxnNABcwokRnRmtxisbW-Y,,https://www.ichiranusa.com/location/ichiran-brooklyn/
"Jack's Dining Room","258 Wythe Ave, Brooklyn, NY 11249, USA",Brooklyn,NY,Williamsburg,dining,ChIJz1BOzx5ZwokRCbrpgsDyf4c,,http://locations.jackswifefreda.com/williamsburg
"KFRI Event","63 Flushing Ave #268, Brooklyn, NY 11205, USA",Brooklyn,NY,"Brooklyn Navy Yard",nightlife,ChIJ2fN-PslbwokRCvrvHCa-yTY,"(646) 584-4379",https://duggalgreenhouse.com/
"Katie O's","452 E New York Ave, Brooklyn, NY 11225, USA",Brooklyn,NY,"Prospect Lefferts Gardens",dining,ChIJi_PHqXpbwokRIASY03NGLA4,,http://www.katieosoulfood.com/
"Katie O's Soul Food","452 E New York Ave, Brooklyn, NY 11225, USA",Brooklyn,NY,"Prospect Lefferts Gardens",dining,ChIJi_PHqXpbwokRIASY03NGLA4,,http://www.katieosoulfood.com/
"Lazy Sundaes","170 Front St, Brooklyn, NY 11201, USA",Brooklyn,NY,Dumbo,dining,ChIJkWdo8pxbwokRb0yfkKXQOrI,"",http://www.lazysundaes.com/
"Le Chai","1904 Utica Ave, Brooklyn, NY 11234, USA",Brooklyn,NY,Flatlands,dining,ChIJlwFSm91DwokRVE3Xn8ceGHk,,https://lechainyc.com/
"Little Oaxaca","138 Smith St, Brooklyn, NY 11201, USA",Brooklyn,NY,"Boerum Hill",dining,ChIJdY5yZQBbwokRxQj7xhEsFt4,,http://rutaoaxacamex.com/
"Lobo Cafe","218 Court St, Brooklyn, NY 11201, USA",Brooklyn,NY,"Cobble Hill",dining,ChIJ30X-EVBawokRbsoyYfGQoeM,"(718) 858-7739",http://lobonyc.com/
OhBoy,"84 Havemeyer St, Brooklyn, NY 11211, USA",Brooklyn,NY,Williamsburg,dining,ChIJ1-6mSetZwokRPwRFGmo0XAg,,http://www.ohboybk.com/
"Osteria Brooklyn","458 Myrtle Ave, Brooklyn, NY 11205, USA",Brooklyn,NY,"Clinton Hill",dining,ChIJHdU65Z5bwokRSOKahsjTfqw,,https://www.osteriabrooklyn.com/
"Prime 623","1566 Ralph Ave, Brooklyn, NY 11234, USA",Brooklyn,NY,"East Flatbush",dining,ChIJ08u4eqldwokROo6vliJySb8,,https://prime623.squarespace.com/
Psarakis,"420 Kent Ave, Brooklyn, NY 11249, USA",Brooklyn,NY,Southside,dining,ChIJ_cMjv51bwokRT_bpXRS98sk,,https://psaraki.com/
"Pura Vida Miami - Williamsburg Kent Ave","Address not found",Brooklyn,NY,Greenpoint,dining,ChIJi1GG80RZwokRs2q0KHjwMLk,"Phone not found",https://www.puravidamiami.com/
"Red Crab Brooklyn","911 Erskine St, Brooklyn, NY 11239, USA",Brooklyn,NY,"Spring Creek",dining,ChIJwRxptV5dwokRT7OP9yPw2M8,,http://redcrabbrooklyn.com/
"Red Hook Winery","175 Van Dyke St Suite 325A, Brooklyn, NY 11231, USA",Brooklyn,NY,"Red Hook",dining,ChIJTzh7oIhawokR_z3_wNt7SWg,,http://www.redhookwinery.com/
"Rockaway Gourmet Deli","9627 Farragut Rd, Brooklyn, NY 11236, USA",Brooklyn,NY,Canarsie,dining,ChIJ6z8bselcwokRQzAxUD__Z1Q,,https://bit.ly/rockawaygourmet
"SOUL FOOD & SLIDERS","409 Eastern Pkwy, Brooklyn, NY 11216, USA",Brooklyn,NY,"Crown Heights",dining,ChIJR_ch0LxbwokRXouTAZGjl7A,,http://www.cornbreadsoul.com/
"Set Lounge NYC","1828 McDonald Ave, Brooklyn, NY 11223, USA",Brooklyn,NY,Gravesend,nightlife,ChIJUxJKouVEwokRJKtRkWiN6a8,"(718) 758-5999",https://setloungeny.com/
"Skywise Lounge","2027 Emmons Ave STE 2, Brooklyn, NY 11235, USA",Brooklyn,NY,"Sheepshead Bay",nightlife,ChIJSdT4_c5FwokRLxPDD5MRxYk,"(718) 550-5454",http://www.skywiselounge.com/
"Slutty Vegan","690 Fulton St, Brooklyn, NY 11217, USA",Brooklyn,NY,"Fort Greene",dining,ChIJj1LEtLFbwokROxsCqsN6qBs,,https://sluttyveganatl.com/
Smorgasburg,"90 Kent Ave, Brooklyn, NY 11211, USA",Brooklyn,NY,Williamsburg,dining,ChIJ9-C4sWdZwokRjDucHJ5DepI,,http://smorgasburg.com/
"Smorgasburg Prospect Park","Prospect Park, Breeze Hill, Brooklyn, NY 11225, USA",Brooklyn,NY,Brooklyn,dining,ChIJC3UieTNbwokRuLWm5SYo1vk,,
"Sofia and Grace Cookie Co.","163 Ralph Ave, Brooklyn, NY 11233, USA",Brooklyn,NY,"Ocean Hill",dining,ChIJ_7qXmG1cwokRF6u4FIJGMqg,,https://www.sgcookies.com/
"Spices and Slices","158 Utica Ave, Brooklyn, NY 11213, USA",Brooklyn,NY,"Crown Heights",dining,ChIJ48_NI41bwokRwrpArqdLvo8,,
"Superior Ingredients","74 Wythe Ave, Brooklyn, NY 11249, USA",Brooklyn,NY,Williamsburg,nightlife,ChIJKQTZyEJZwokRpis6IDDbO-w,,https://www.si-bk.com/
Tabu,"10 Hope St, Brooklyn, NY 11211, USA",Brooklyn,NY,Williamsburg,dining,ChIJ7Tic54tZwokREeoJef4z9Dg,,http://tabubk.com/
"Taste of Heaven","251 Jackson St, Brooklyn, NY 11211, USA",Brooklyn,NY,"East Williamsburg",dining,ChIJvUlmNFJZwokRO03STM7jQ8w,,http://www.tasteofheavenbk.com/
"The Acoustik Garden Lounge","1515 Atlantic Ave, Brooklyn, NY 11213, USA",Brooklyn,NY,Bedford-Stuyvesant,nightlife,ChIJyTdrtIdbwokRB8DFGbTgwPk,,https://acoustikgardenlounge.com/
"The Empanada Spot","346 Graham Ave, Brooklyn, NY 11211, USA",Brooklyn,NY,Williamsburg,dining,ChIJ-dKAwBpZwokRHNjwPl94MgE,,
"The Gatehouses","Kings County Distillery, 299 Sands St, Brooklyn, NY 11205, USA",Brooklyn,NY,"Brooklyn Navy Yard",nightlife,ChIJP0IIestbwokRWukzb09d5WM,"(347) 689-4180",https://www.kingscountydistillery.com/the-gatehouses
"The Love Lounge","106 Melrose St, Brooklyn, NY 11206, USA",Brooklyn,NY,Bushwick,nightlife,ChIJ0a0LB7ZdwokRzooG9HOap0g,"(828) 337-7682",http://lovesclubnyc.com/
"The Polar Lounge","60 Furman St Floor 11, Brooklyn, NY 11201, USA",Brooklyn,NY,"Brooklyn Heights",nightlife,ChIJPxACDBpbwokROc8Ds_8m9WQ,,https://www.1hotels.com/brooklyn-bridge/taste/harriets-rooftop?utm_source=google-gbp&utm_medium=organic&utm_campaign=gbp
"The Simpson","673 Atlantic Ave, Brooklyn, NY 11217, USA",Brooklyn,NY,"Fort Greene",dining,ChIJ_W7cGPtbwokRXxTMC6MOvHA,,https://www.thesimpsonrestaurantbk.com/
