"Everdene at The Virgin Hotels",Manhattan,NY
FIELDTRIP,Manhattan,NY
"Fairytale Lounge",Manhattan,NY
Feste,Manhattan,NY
"Fig 19",Manhattan,NY
"File Gumbo Bar",Manhattan,NY
"File Gumbo Louisiana Style Cuisine",Manhattan,NY
"Fleur Room",Manhattan,NY
"Flippers Pancakes",Manhattan,NY
Fornino,Manhattan,NY
"Fried Catfish",Manhattan,NY
"Fried Catfish Today",Manhattan,NY
"Frosty's Holiday Bar",Manhattan,NY
"Frosty’s",Manhattan,NY
Fumo,Manhattan,NY
"Funny Face Bakery",Manhattan,NY
"Fushimi Group Times Square",Manhattan,NY
"Gallow Green",Manhattan,NY
"Ghirardelli Chocolate & Ice Cream Shop",Manhattan,NY
"Gitano NYC",Manhattan,NY
"Gnocchi on the Go",Manhattan,NY
"Golden Diner",Manhattan,NY
"Golden Girls Kitchen",Manhattan,NY
"Grand Banks",Manhattan,NY
"Grand Brasserie",Manhattan,NY
"Grinchy’s at Roberta’s",Manhattan,NY
Gyukaku,Manhattan,NY
H0L0,Manhattan,NY
"Harbor New York City",Manhattan,NY
"Havana Social",Manhattan,NY
"Heineken Riverdeck",Manhattan,NY
"Hey Thai",Manhattan,NY
HeyTea,Manhattan,NY
Hibachiomakase,Manhattan,NY
Highball,Manhattan,NY
"Highlight Room",Manhattan,NY
"Hotel Hennes NYC",Manhattan,NY
Huset,Manhattan,NY
"I Got Balls",Manhattan,NY
ISHQ,Manhattan,NY
"Il Mulino",Manhattan,NY
"Industry Kitchen",Manhattan,NY
"Infused Ice Cream Spot",Manhattan,NY
Itakitchen,Manhattan,NY
"JBF Platform",Manhattan,NY
"Jaffa Cocktail & Raw Bar",Manhattan,NY
Jalao,Manhattan,NY
"Jasmine’s Caribbean Cuisine",Manhattan,NY
"Jerk House Caribbean",Manhattan,NY
"Jewel Thief",Manhattan,NY
Kaizen,Manhattan,NY
"Kam Rai",Manhattan,NY
"Karla Restaurant",Manhattan,NY
Kebabwala,Manhattan,NY
Khaosan,Manhattan,NY
"King's Hawaiian",Manhattan,NY
Kjun,Manhattan,NY
"Kona Big Wave",Manhattan,NY
"Kyma Hudson Yards",Manhattan,NY
Kyuramen,Manhattan,NY
"La Barca Cantina",Manhattan,NY
"La Boca",Manhattan,NY
"La Caverna",Manhattan,NY
"La Cubana",Manhattan,NY
Lacubana,Manhattan,NY
"Ladurée",Manhattan,NY
"Lagos NYC",Manhattan,NY
"Lama Cafe",Manhattan,NY
"Lamia's Fish Market",Manhattan,NY
Laserwolf,Manhattan,NY
"Le Basque",Manhattan,NY
"Le Petit",Manhattan,NY
"Level Restaurant",Manhattan,NY
"Liberty Bistro",Manhattan,NY
"Lighthouse Rooftop",Manhattan,NY
"Lillie's Victorian",Manhattan,NY
"Lily of The Valley Afternoon Tea",Manhattan,NY
Limusina,Manhattan,NY
"Lion’s Milk",Manhattan,NY
"Little Charlie NYC",Manhattan,NY
"Little Sister Lounge",Manhattan,NY
Lohi,Manhattan,NY
"Loreley Restaurant",Manhattan,NY
"Lori Jayne",Manhattan,NY
"Los Tacos No. 1",Manhattan,NY
"Lost In Paradise",Manhattan,NY
"Lounge at Mandarin Oriental New York",Manhattan,NY
"Lucy's Sausage",Manhattan,NY
"Luv Pizza",Manhattan,NY
"L’Adresse American Bistro",Manhattan,NY
"Magaritaville Resort",Manhattan,NY
"Maison Close",Manhattan,NY
Majorelle,Manhattan,NY
"Malibu Farm",Manhattan,NY
"Mama Taco",Manhattan,NY
Maman,Manhattan,NY
Manhatta,Manhattan,NY
"Margaritaville Times Square",Manhattan,NY
"Mariebelle Chocolate Experience",Manhattan,NY
"Market Table",Manhattan,NY
"McDonald’s Popup",Manhattan,NY
"Medusa Mediterranean Cuisine",Manhattan,NY
"Meduza Mediterrania",Manhattan,NY
Meili,Manhattan,NY
"Mercury Lounge",Manhattan,NY
Metropolis,Manhattan,NY
"Mezze on the River",Manhattan,NY
"Mian Kitchen",Manhattan,NY
"Mia’s Cocina",Manhattan,NY
"Mickey Spillane",Manhattan,NY
"Mickey Spillane's",Manhattan,NY
"Mighty Quinn’s",Manhattan,NY
"Mikiya New York",Manhattan,NY
"Milano Market",Manhattan,NY
"Milk + Roses",Manhattan,NY
"Minuto Bauli",Manhattan,NY
Mira,Manhattan,NY
"Miss Nellie’s Victorian Theme Restaurant",Manhattan,NY
"Miss Yolo’s Tacos",Manhattan,NY
"Mission Ceviche",Manhattan,NY
"Miznon NYC",Manhattan,NY
"Moho Mexican Grill",Manhattan,NY
"Mojito by David Burke",Manhattan,NY
"Moka Matcha",Manhattan,NY
"Mom's Spaghetti",Manhattan,NY
Momoya,Manhattan,NY
"Monarch Rooftop",Manhattan,NY
"Morton’s Steakhouse",Manhattan,NY
Motek,Manhattan,NY
"Ms. Kim's",Manhattan,NY
"Mulberry St Cigars",Manhattan,NY
"Mulberry Street Bar",Manhattan,NY
"Murphy's",Manhattan,NY
"Murray’s Cheese Shop",Manhattan,NY
Musaek,Manhattan,NY
"Mustrd Restaurant",Manhattan,NY
"My fav bar",Manhattan,NY
"Mysttik Masaala",Manhattan,NY
"NY Willy Wall",Manhattan,NY
"NYC Kitchen",Manhattan,NY
"Native Harlem",Manhattan,NY
Negril,Manhattan,NY
Nerai,Manhattan,NY
"New Star Deli",Manhattan,NY
"Nikki’s Kitchen",Manhattan,NY
"ONE Dine",Manhattan,NY
"Oh WE TALKING OXTAILS",Manhattan,NY
"Old Fashion Café",Manhattan,NY
Ollie,Manhattan,NY
"Olly Olly Market",Manhattan,NY
"One40 Rooftop",Manhattan,NY
Ophelia,Manhattan,NY
"Ophelia Lounge",Manhattan,NY
"Oscar Wilde",Manhattan,NY
Overstory,Manhattan,NY
Oxtails,Manhattan,NY
PPL,Manhattan,NY
"Palm Court",Manhattan,NY
"Palm Court at The Plaza Hotel",Manhattan,NY
"Palma Verde",Manhattan,NY
"Panda Harlem",Manhattan,NY
Paninoteca,Manhattan,NY
"Panorama Room",Manhattan,NY
"Papillon Bistro & Bar",Manhattan,NY
"Paradise Club",Manhattan,NY
"Partake NYC",Manhattan,NY
Passerine,Manhattan,NY
Pastasole,Manhattan,NY
"Patridge Bistro & Bar",Manhattan,NY
"Patty Palace",Manhattan,NY
"Peak Restaurant & Bar",Manhattan,NY
"Pera Soho",Manhattan,NY
"Pier 17 Roof",Manhattan,NY
"Pier I Cafe",Manhattan,NY
"Plantshed SoHo",Manhattan,NY
"Plowshares Coffee",Manhattan,NY
"Point Seven",Manhattan,NY
"Point Seven Seafood Focused Restaurant",Manhattan,NY
"Polly’s Speakeasy",Manhattan,NY
"Popup Bagels",Manhattan,NY
"Porter House",Manhattan,NY
"Portrait Bar",Manhattan,NY
"Postcard Bakery",Manhattan,NY
"Prestige Lounge",Manhattan,NY
Prime39,Manhattan,NY
"Prince Street Pizza",Manhattan,NY
"Public Hotel",Manhattan,NY
"Raf's",Manhattan,NY
"Ramen and Saki",Manhattan,NY
"Ras Plant Vegan Ethiopian Cuisine",Manhattan,NY
"Rasta Pasta",Manhattan,NY
"Record Room NYC",Manhattan,NY
"Refinery Rooftop",Manhattan,NY
"River Cafe",Manhattan,NY
"Rolfs German Restaurant",Manhattan,NY
"Rory’s Rooftop Bar",Manhattan,NY
"Ruby Crab",Manhattan,NY
"Sahola Coffee",Manhattan,NY
"Saint Lounge NYC",Manhattan,NY
"Sake No Hana",Manhattan,NY
"San Sabino",Manhattan,NY
"Sandbar Rooftop",Manhattan,NY
Sangenaro,Manhattan,NY
"Scarr’s Pizza",Manhattan,NY
"Seamore's",Manhattan,NY
"Semicolon Cafe",Manhattan,NY
"Shawnae’s House",Manhattan,NY
Shirokuro,Manhattan,NY
"Skinny's Cantina on the Hudson",Manhattan,NY
SmashBurger,Manhattan,NY
"Smoke Jazz Club & Supper Club",Manhattan,NY
"Somewhere Nowhere",Manhattan,NY
"Somewhere Nowhere Rooftop",Manhattan,NY
"Somewhere Nowhere Rooftop at Renaissance NY",Manhattan,NY
"Soul Food",Manhattan,NY
"Soul N The Hole",Manhattan,NY
"Spicy Moon",Manhattan,NY
"Spicy Village",Manhattan,NY
"Spicymoon Vegan Szechuan Cuisine",Manhattan,NY
Spritz,Manhattan,NY
"Spyglass Rooftop",Manhattan,NY
"Stout NYC",Manhattan,NY
"Strip Steakhouse Speakeasy",Manhattan,NY
"Stuffed Ice Cream",Manhattan,NY
Sub-Mission,Manhattan,NY
Sullaluna,Manhattan,NY
"Sunday Morning Cinnamon Rolls",Manhattan,NY
"Sushi & Bento by Mr Lim",Manhattan,NY
"Sushi Suite 1001",Manhattan,NY
"Sweet Cats",Manhattan,NY
"Sweet Moment",Manhattan,NY
"Sylvia’s Restaurant",Manhattan,NY
"Søul",Manhattan,NY
"T Lounge NYC",Manhattan,NY
"TAN New York City",Manhattan,NY
"TS Bar",Manhattan,NY
"TWA Lounge",Manhattan,NY
"Table For Two",Manhattan,NY
Tadhana,Manhattan,NY
"Taqueria El Chato",Manhattan,NY
"Tarallucci e Vino",Manhattan,NY
"Taste of Seafood",Manhattan,NY
"Tavern on the Green",Manhattan,NY
"Temple Court inside Beekman Hotel",Manhattan,NY
"Ten 11",Manhattan,NY
"Thai Diner",Manhattan,NY
"The 40/40 Club",Manhattan,NY
"The Argyle",Manhattan,NY
"The Atelier Jolie",Manhattan,NY
"The Baazar at The Ritz Carlton",Manhattan,NY
"The Bazaar by Jose Andres",Manhattan,NY
"The Boom Room",Manhattan,NY
"The Box NYC",Manhattan,NY
"The Cabinet",Manhattan,NY
"The Chai Spot",Manhattan,NY
"The Chelsea House NYC",Manhattan,NY
"The City Is Ours NYC",Manhattan,NY
"The Common",Manhattan,NY
"The Common Park Slope",Manhattan,NY
"The Corner Store",Manhattan,NY
"The Cronut Stand",Manhattan,NY
"The Django",Manhattan,NY
"The Fine Wine Experience NYC",Manhattan,NY
"The Flatiron Room Murray Hill",Manhattan,NY
"The Fleur Room",Manhattan,NY
"The Garden at The Standard, East Village",Manhattan,NY
"The Grid",Manhattan,NY
"The Guesthouse Bistro & Bar",Manhattan,NY
"The Hairy Lemon",Manhattan,NY
"The Highlight Room",Manhattan,NY
"The Laduree",Manhattan,NY
"The Living Room",Manhattan,NY
"The Lost Draft",Manhattan,NY
"The Monkey Cup",Manhattan,NY
"The Nines",Manhattan,NY
"The Plaza Hotel",Manhattan,NY
"The Ready Rooftop",Manhattan,NY
"The Roof at Public Hotel",Manhattan,NY
"The Royal Palms Shuffleboard",Manhattan,NY
"The Tyger",Manhattan,NY
"The Vixen Of Soul Food",Manhattan,NY
"Three Peaks Lodge",Manhattan,NY
"Time Out Market",Manhattan,NY
"Time Out Market New York",Manhattan,NY
Tucci,Manhattan,NY
"Twenty Three Grand",Manhattan,NY
"Twin Tails",Manhattan,NY
UNLISTED,Manhattan,NY
UNTITLED,Manhattan,NY
"Unnamed Venue",Manhattan,NY
"Urban Cove",Manhattan,NY
"VIV Thai",Manhattan,NY
"Van Leeuwen",Manhattan,NY
"Vanderbilt Market",Manhattan,NY
"Verano NYC",Manhattan,NY
"Vert Frais",Manhattan,NY
"Vert Frais Japanese Eatery",Manhattan,NY
"Vinile Chophouse",Manhattan,NY
"Vintage Green",Manhattan,NY
"Vinyl Steakhouse",Manhattan,NY
"Virgin Hotels",Manhattan,NY
"Wabi Nori",Manhattan,NY
Watermark,Manhattan,NY
Westlight,Manhattan,NY
Westmoreland,Manhattan,NY
"Wonderland Bar",Manhattan,NY
"Wonderland Cocktail Bar",Manhattan,NY
Wontonissimo,Manhattan,NY
"Woodland’s",Manhattan,NY
"Ye’s Apothecary",Manhattan,NY
Yingtao,Manhattan,NY
"Yum Yubu",Manhattan,NY
Zoi,Manhattan,NY
Zuma,Manhattan,NY
eatprettyues,Manhattan,NY
industrykitchen,Manhattan,NY
kobanony,Manhattan,NY
melaninmimosasbrunch,Manhattan,NY
nychookahlounge,Manhattan,NY
restaurant,Manhattan,NY
speakeasy,Manhattan,NY
stagestarbackstage,Manhattan,NY
tablefortwonyc,Manhattan,NY
thecityisoursnyc,Manhattan,NY
unknown,Manhattan,NY
"unknown poké bowl restaurant",Manhattan,NY
"unknown restaurant",Manhattan,NY
"Garage Grill",Marlboro,NY
"Bacha Coffee",Marrakech,NY
"Comptoir Darna",Marrakech,NY
"Newyork lounge",Mekelle,NY
"Social Corner",Merrick,NY
"7th Street Burger",Mineola,NY
"The Rex Burger and Lobster",Mineola,NY
Wynwood,"Multiple Locations",NY
"Café Boulud Baha Mar",Nassau,NY
"Grand Hyatt",Nassau,NY
"Marcus Baha Mar",Nassau,NY
"Marcus Cooks",Nassau,NY
Rosewood,Nassau,NY
SLS,Nassau,NY
"Sapodilla Restaurant",Nassau,NY
Bittersweet,Neversink,NY
"Noma Social","New Rochelle",NY
"G & H Deli",Newburgh,NY
KYU,NoHo,NY
blackbarnrestaurant,NoMAD,NY
"A Guyanese-Chinese restaurant","North Baldwin",NY
"Guyanese-Chinese restaurant","North Baldwin",NY
Allard,Paris,NY
"Bar Les Ambassadeurs",Paris,NY
"Brasserie Flottes",Paris,NY
"Breizh Cafe",Paris,NY
"Cafe Carette",Paris,NY
"Cafe Laperouse",Paris,NY
"Cafe de l’Homme",Paris,NY
Carette,Paris,NY
"Chez Janou",Paris,NY
"Cinq Mars",Paris,NY
Derriere,Paris,NY
"La Renommee",Paris,NY
"Laduree Carrousel du Lourve",Paris,NY
"Le Procope",Paris,NY
"Le Tout",Paris,NY
"Le Voltaire",Paris,NY
"Les Jules Verne",Paris,NY
"L’Avant Comptoir de la Terre",Paris,NY
"Marius et Janette",Paris,NY
"Robert et Louise",Paris,NY
Stohrer,Paris,NY
"Stella's","Park Slope",NY
"Norsdale Phoenicia",Phoenicia,NY
"Dirty Taco and Tequila","Port Washington",NY
"Atlantic Bakery",Queens,NY
"Blend lounge",Queens,NY
"Caribbean Soul NYC",Queens,NY
"Cascade Jerk",Queens,NY
"Chew the Fat",Queens,NY
"Cream Ridgewood",Queens,NY
"Delicious Soul Food",Queens,NY
"Epic Lounge",Queens,NY
"Impulse Lounge",Queens,NY
"Little Guyana Restaurant and Lounge",Queens,NY
Mayahuel,Queens,NY
"Mon Amour Café",Queens,NY
"Q102 Pool Hall",Queens,NY
"Queens Juici Patties",Queens,NY
"Queens Night Market",Queens,NY
"Rollin' Heroes",Queens,NY
"Smash House Queens",Queens,NY
"Soul City",Queens,NY
"Soul City Taste Test",Queens,NY
"The Attic",Queens,NY
"The Chickin Box",Queens,NY
"The Green Grump Christmas Pop Up Bar",Queens,NY
"The Rooftop",Queens,NY
"Toledo Cafe",Queens,NY
"True Flavors Roti Shop",Queens,NY
"Underground Lounge",Queens,NY
"WTF Sushi",Queens,NY
"Tootsies Everything Waffle",Quinby,NY
Dasheene,"Saint Lucia",NY
"Chai Qahwah Lounge",Selden,NY
"the Apartment",SoHo,NY
"the otter soho",SoHo,NY
"Harpers Southampton",Southampton,NY
"Angelina's Kitchen","Staten Island",NY
"Ariemma's Italian Deli","Staten Island",NY
"Honey Fried Chicken","Staten Island",NY
"Lee's Tavern","Staten Island",NY
"Piece of Cake NYC","Staten Island",NY
"Shaw-nae’s House","Staten Island",NY
"Shawna's House","Staten Island",NY
"Shawnae's House","Staten Island",NY
"Søul Mac","Staten Island",NY
"Rise N Shine",Syracuse,NY
"Colima Taqueria","The Bronx",NY
"Flamez Cuisine","The Bronx",NY
Flourish,"The Bronx",NY
"Travesias NYC","The Bronx",NY
dripsnyc,"The Bronx",NY
"Le Chalet","Upstate New York",NY
"Legacy Bar & Grill","Washington Heights",NY
bluonthehudson,"Weehawken Township",NY
"The Shed",Westbury,NY
"Hear & There",Williamsburg,NY
"Lilli Star",Williamsburg,NY
Limosneros,Williamsburg,NY
"Mac Shack",Williamsburg,NY
"Sushi On Me",Williamsburg,NY
"The Cellar 42",Williamsburg,NY
made21_barlounge,Williamsburg,NY
"Volpe Ristorante at The Fox Hollow",Woodbury,NY
"Fire steak en vis restaurant",Zolder-Boekt,NY
"Baldor Specialty Foods",city,NY
"Tang by Mr. Sun",city,NY
Koi,"city name (from caption)",NY
"Hibachi Omakase","Tri-State area","NY or NJ"
"Steady Hand Cafe",city,"NY or NJ"
Lekkaburger,"city name (from caption)","NY or NJ (from caption)"
"Chano's Cantina",Astoria,"New York"
"Christos Steak House",Astoria,"New York"
"La Vecina",Astoria,"New York"
"Truth Restaurant Astoria",Astoria,"New York"
"Zikrayat Restaurant & Lounge",Astoria,"New York"
Beatstro,Bronx,"New York"
"Rosa's At Park",Bronx,"New York"
"Vistamar Restaurant & Lounge",Bronx,"New York"
"Amber Steak House",Brooklyn,"New York"
"Bee's Knees & Honey Lounge",Brooklyn,"New York"
"Blend Williamsburg",Brooklyn,"New York"
"Casa Ora",Brooklyn,"New York"
"El Zason",Brooklyn,"New York"
"Flava II Restaurant & Lounge",Brooklyn,"New York"
"Jajaja Mexicana",Brooklyn,"New York"
"Juliette Restaurant",Brooklyn,"New York"
"LILLI RESTAURANT",Brooklyn,"New York"
"La Nonna Ristorante & Bar - Williamsburg, Brooklyn",Brooklyn,"New York"
"Rule of Thirds",Brooklyn,"New York"
Sereneco,Brooklyn,"New York"
"Sungold Restaurant Brooklyn NY (Arlo Williamsburg)",Brooklyn,"New York"
"Westville Williamsburg",Brooklyn,"New York"
"Win Son",Brooklyn,"New York"
"de Mole",Brooklyn,"New York"
"Fogo de Chão Brazilian Steakhouse",Elmhurst,"New York"
"Gyu-Kaku Japanese BBQ",Flushing,"New York"
"Nick's Bistro",Flushing,"New York"
"PRIME Mēt Steakhouse",Flushing,"New York"
"PRIME Mēt Steakhouse",Flushing,"New York"
Mojo,"Forest Hills","New York"
"Salvaje Social Club NYC","Jackson Heights","New York"
"Blend on the Water","Long Island City","New York"
"Citrico Cafe","Long Island City","New York"
"Dai Hachi Sushi in Long Island City","Long Island City","New York"
Maiella,"Long Island City","New York"
"Soothr LIC","Long Island City","New York"
"Vista Sky Lounge","Long Island City","New York"
"Vista Sky Lounge","Long Island City","New York"
Sinigual,Manhattan,"New York"
Sinigual,Manhattan,"New York"
"Altair Restaurant NYC","New York","New York"
"Aretsky's Patroon","New York","New York"
"Ascent Lounge","New York","New York"
"Añejo","New York","New York"
"Añejo Tribeca","New York","New York"
BG,"New York","New York"
Barawine,"New York","New York"
Benihana,"New York","New York"
"Black Iron Burger Theater District | Hamburger restaurant Bar","New York","New York"
"Broadway Lounge","New York","New York"
"Cafe Ginori at Bergdorf Goodman","New York","New York"
"Cafe d’Alsace","New York","New York"
"Caliente Cab Co.","New York","New York"
"Casa Carmen Flatiron","New York","New York"
"Casa Cruz Upper East Side Restaurant","New York","New York"
"Castell Rooftop Lounge","New York","New York"
"Catch n' Chop","New York","New York"
"Chele's","New York","New York"
Cibar,"New York","New York"
"Cilantro West","New York","New York"
"Community Food & Juice","New York","New York"
Contour,"New York","New York"
"Crave Fishbar Upper West Side | Raw Bar & Seafood restaurant","New York","New York"
"Célon Bar & Lounge","New York","New York"
"Dos Caminos","New York","New York"
"Dos Caminos","New York","New York"
"Dos Caminos","New York","New York"
Elea,"New York","New York"
"Frida Midtown","New York","New York"
"Harlem Tavern","New York","New York"
"Havana Central Times Square","New York","New York"
"Havana Heights","New York","New York"
"Haven Rooftop","New York","New York"
"Hoexter's","New York","New York"
"IL Carino Restaurant","New York","New York"
"Jajaja Mexicana","New York","New York"
Javelina,"New York","New York"
"JoJo by Jean-Georges","New York","New York"
Kahlo,"New York","New York"
"Koi New York","New York","New York"
"Korali Estiatorio","New York","New York"
"La Palapa","New York","New York"
"La Pecora Bianca Midtown","New York","New York"
"Le Monde","New York","New York"
"Lex Restaurant","New York","New York"
"Lido Harlem Restaurant","New York","New York"
"Magic Hour Rooftop Bar & Lounge","New York","New York"
"Maison Harlem","New York","New York"
"Mamasita Bar & Grill","New York","New York"
Mamasushi,"New York","New York"
"Mamazul Mexican Grill","New York","New York"
"Marlow Bistro","New York","New York"
"Marlow East","New York","New York"
Maya,"New York","New York"
"Mexiterranean Grill","New York","New York"
"Mykonian House","New York","New York"
"Móle Mexican Bar & Grill - West Village","New York","New York"
Nizuc,"New York","New York"
"Nobu Downtown","New York","New York"
"Nobu Fifty Seven","New York","New York"
Oso,"New York","New York"
"Patrick's on the Hill","New York","New York"
"Pil Pil","New York","New York"
"Pink Taco","New York","New York"
"Playa Betty’s","New York","New York"
"RT60 Rooftop Bar & Lounge","New York","New York"
"Red Rooster Harlem","New York","New York"
"Rosa Mexicano","New York","New York"
"Rosa Mexicano","New York","New York"
"Rosehill Rooftop","New York","New York"
"Row House","New York","New York"
"San Babila NYC","New York","New York"
"Smith & Wollensky","New York","New York"
Sofrito,"New York","New York"
"TAO Uptown","New York","New York"
"The Alderman","New York","New York"
"The Fox Harlem","New York","New York"
"The Mermaid Inn Upper West Side","New York","New York"
"The Shell Seafood Kitchen & Bar","New York","New York"
"The Skylark - Rooftop Bar","New York","New York"
Tinos,"New York","New York"
Toloache,"New York","New York"
Toloache,"New York","New York"
"Toro Loco","New York","New York"
"Up Thai","New York","New York"
"Vinatería","New York","New York"
Boske,Queens,"New York"
"ZAAB ZAAB",Queens,"New York"
"Cantina Valencia Tex-Mex & Tequila Bar","Staten Island","New York"
"Laila Restaurant And Lounge","Staten Island","New York"
"Sofia's Taqueria","Staten Island","New York"
"Kelsey’s Ac",Columbus,OH
"The Golden Skillet",Ajax,ON
"Juicy Birds",Greektown,ON
"Mad Bird",Mississauga,ON
"Ana’s Hotspot",Toronto,ON
"Crossing Vineyards","Bucks County",PA
"Nektar Wine Bar","Bucks County",PA
"Conway Social Club",Lancaster,PA
"Spring House Beer",Lancaster,PA
"Cocina Mexicana",Philadelphia,PA
"Fallin Off The Bone",Philadelphia,PA
"Prime Fusion Afro Grill and Lounge",Philadelphia,PA
"Yardley Ice House",Yardley,PA
Teppanya,Clark,PH
"787 Coffee","Puerto Rico",PR
"El Rincon Tapatio",Dallas,TX
"Hattie B’s",Dallas,TX
"SEASIDE LOUNGEHTX",Houston,TX
"Nico’s Restaurant",Utah,UT
"O Lounge","Tyson's Corner",VA
gbluxurycupcakes,n/a,n/a
the5vesoul,Barcelona,none
"Tony's Tacos",Belleville,"not specified"
"Living Room Sushi Steak",Brooklyn,"not specified"
"Solo Scoop Creamery",Brooklyn,"not specified"
"Topaze Restaurant",Brooklyn,"not specified"
Wawa,"Frankfurt am Main","not specified"
Wonder,Hamburg,"not specified"
"Gooeyond Inside",Manhattan,"not specified"
"Paletas Morelia",Manhattan,"not specified"
"Red Lobster",Manhattan,"not specified"
"Topokki Witch",Manhattan,"not specified"
apastabar,Manhattan,"not specified"
bee.lounge,Manhattan,"not specified"
"coremg Movay Brunch",Manhattan,"not specified"
selfup,Manhattan,"not specified"
"Zen lounge",Queens,"not specified"
latino_bites,Queens,"not specified"
"333 Lounge",Brooklyn,unknown
"Lakou Cafe",Brooklyn,unknown
"The Suite Restaurant",Brooklyn,unknown
"8 Bit Bites",Manhattan,unknown
"Chinese Restaurant",Manhattan,unknown
Pho,Manhattan,unknown
thekitsby,Manhattan,unknown
"Madre and Son",Newark,unknown
"Tropical Jerk",Queens,unknown
"Red Hot Mammas","Royal Leamington Spa",unknown
